Rank,Points,Votes,Name,Film,Group,"Group
Rank",Vote Distribution,Year,Place of Birth,Gender,Birthday,Deathday,Age,Release Date,Genres,ID
1,60,17,Daniel Day-Lewis,There Will Be Blood,13,1,43234444343424444,2007,UK,2,1957-04-29,None,50,2007-09-27,Drama,210
2,55,15,Marlon Brando,The Godfather,16,1,334244434444444,1972,USA,2,1924-04-03,2004-07-01,47,1972-03-14,"Drama, Crime",606
3,55,15,Toshiro Mifune,Seven Samurai,4,1,434444434443343,1954,China,2,1920-04-01,1997-12-24,34,1954-04-26,"Action, Drama",942
4,55,14,Al Pacino,Dog Day Afternoon,17,1,44444434444444,1975,USA,2,1940-04-25,None,35,1975-09-19,"Crime, Drama, Thriller",11
5,54,16,Al Pacino,The Godfather Part II,3,1,3442342443432444,1974,USA,2,1940-04-25,None,34,1974-12-20,"Drama, Crime",16
6,54,15,Jack Nicholson,One Flew Over the Cuckoo's Nest,7,1,444443443144443,1975,USA,2,1937-04-22,None,38,1975-11-18,Drama,396
6,54,15,Peter O’Toole,Lawrence of Arabia,14,1,443344442442444,1962,Ireland,2,1932-08-02,2013-12-14,30,1962-12-10,"Adventure, Drama, History, War",714
8,54,15,Philip Seymour Hoffman,The Master,3,2,442334444434344,2012,USA,2,1967-07-23,2014-02-02,45,2012-09-01,Drama,723
9,53,16,Henry Fonda,12 Angry Men,3,3,4344244243422434,1957,USA,2,1905-05-16,1982-08-12,51,1957-04-10,Drama,357
10,53,15,Robert De Niro,Raging Bull,13,3,234444434344442,1980,USA,2,1943-08-17,None,37,1980-11-14,"Drama, Action",752
11,52,15,Gena Rowlands,A Woman Under the Influence,3,4,444343244444314,1974,USA,1,1930-06-19,None,44,1974-09-19,Drama,303
12,52,14,Al Pacino,The Godfather,13,2,44444424343444,1972,USA,2,1940-04-25,None,31,1972-03-14,"Drama, Crime",15
13,50,14,Gloria Swanson,Sunset Blvd.,8,1,43244443444343,1950,USA,1,1899-03-27,1983-04-04,51,1950-08-10,Drama,332
14,49,13,Peter Sellers,"Dr. Strangelove, or: How I Learned to Stop Worrying and Love the Bomb",6,1,3443444344444,1964,UK,2,1925-09-08,1980-07-24,38,1964-01-29,"Drama, Comedy, War",717
15,48,15,Martin Sheen,Apocalypse Now,14,2,424243243144434,1979,USA,2,1940-08-03,None,38,1979-05-10,"Drama, War",610
16,48,15,Bibi Andersson,Persona,10,1,324414334343433,1966,Sweden,1,1935-11-11,2019-04-14,30,1966-10-18,Drama,98
17,48,13,Maria Falconetti,The Passion of Joan of Arc,19,1,4424444442444,1928,France,1,1892-07-21,1946-12-12,35,1928-04-21,"Drama, History",583
18,48,13,Robert De Niro,The Godfather Part II,11,1,4443433444443,1974,USA,2,1943-08-17,None,31,1974-12-20,"Drama, Crime",757
19,47,14,Robert De Niro,Taxi Driver,19,2,34144441444424,1976,USA,2,1943-08-17,None,32,1976-02-08,"Crime, Drama",756
20,47,14,Anthony Perkins,Psycho,19,3,22444443434333,1960,USA,2,1932-04-04,1992-09-12,28,1960-06-16,"Horror, Drama, Thriller",58
21,46,15,Harry Dean Stanton,"Paris, Texas",1,1,144443414423242,1984,USA,2,1926-07-14,2017-09-15,57,1984-05-19,Drama,348
22,46,14,Liv Ullmann,Persona,15,1,44444344411144,1966,Japan,1,1938-12-16,None,27,1966-10-18,Drama,557
23,46,14,Klaus Kinski,Aguirre: The Wrath of God,5,1,14243444334244,1972,Poland,2,1926-10-18,1991-11-23,46,1972-12-29,"Adventure, Drama, History",526
24,46,13,Orson Welles,Citizen Kane,8,2,2444443444234,1941,USA,2,1915-05-06,1985-10-10,25,1941-04-17,"Mystery, Drama",681
25,46,13,Toshiro Mifune,Rashomon,17,2,3434324344444,1950,China,2,1920-04-01,1997-12-24,30,1950-08-26,"Crime, Drama, Mystery",949
26,45,15,Gene Hackman,The Conversation,16,2,432134343414234,1974,USA,2,1930-01-30,None,44,1974-04-07,"Crime, Drama, Mystery",308
27,45,14,Adrien Brody,The Pianist,20,1,43434242442333,2002,USA,2,1973-04-14,None,29,2002-05-24,"Drama, War",6
28,45,13,Toshiro Mifune,Throne of Blood,7,2,4344423442344,1957,China,2,1920-04-01,1997-12-24,36,1957-01-15,"Drama, History",944
28,45,13,Takashi Shimura,Seven Samurai,5,2,2234344344444,1954,Japan,2,1905-03-12,1982-02-11,49,1954-04-26,"Action, Drama",978
30,45,13,Peter Lorre,M,2,1,2444433433443,1931,Slovakia,2,1904-06-26,1964-03-23,26,1931-05-11,"Drama, Action, Thriller, Crime",707
31,45,12,Takashi Shimura,Ikiru,18,1,444444414444,1952,Japan,2,1905-03-12,1982-02-11,47,1952-10-09,Drama,977
32,44,16,Robert Duvall,Apocalypse Now,15,2,1423422233234324,1979,USA,2,1931-01-05,None,48,1979-05-10,"Drama, War",759
33,44,14,Marlon Brando,Apocalypse Now,1,2,23424434431433,1979,USA,2,1924-04-03,2004-07-01,55,1979-05-10,"Drama, War",603
34,44,13,Mickey Rourke,The Wrestler,12,1,3443444144342,2008,USA,2,1952-09-16,None,56,2008-09-07,"Drama, Romance",650
34,44,13,Ellen Burstyn,Requiem for a Dream,8,3,3444442433144,2000,USA,1,1932-12-07,None,67,2000-05-14,"Crime, Drama, Thriller",254
34,44,13,Naomi Watts,Mulholland Drive,12,1,3424234444424,2001,UK,1,1968-09-28,None,32,2001-05-16,"Thriller, Drama, Mystery",662
37,44,13,Humphrey Bogart,The Maltese Falcon,1,3,2434334424344,1941,USA,2,1899-12-25,1957-01-14,41,1941-10-03,"Mystery, Crime, Thriller",372
38,44,12,Humphrey Bogart,In a Lonely Place,3,5,442434444443,1950,USA,2,1899-12-25,1957-01-14,50,1950-05-17,"Mystery, Thriller",368
38,44,12,Emily Watson,Breaking the Waves,3,5,442443444443,1996,UK,1,1967-01-14,None,29,1996-05-13,"Drama, Romance",261
40,43,13,James Stewart,It's a Wonderful Life,8,4,4443434313442,1946,USA,2,1908-05-20,1997-07-02,38,1946-12-20,"Drama, Family, Fantasy",414
41,43,13,Frances McDormand,Fargo,8,5,3333442424443,1996,USA,1,1957-06-23,None,38,1996-03-08,"Crime, Drama, Thriller",293
42,43,12,Charlie Chaplin,The Great Dictator,17,3,344443234444,1940,UK,2,1889-04-16,1977-12-25,51,1940-10-15,Comedy,165
43,42,15,Mia Farrow,Rosemary's Baby,12,3,124442332224333,1968,USA,1,1945-02-09,None,23,1968-06-12,"Horror, Drama, Mystery",632
44,42,13,Max von Sydow,The Seventh Seal,16,3,3444131444424,1957,Sweden,2,1929-04-10,2020-03-08,27,1957-02-16,"Fantasy, Drama",617
